0.000000000000000000e+00 1.479290001265886889e-01
9.424777960769379348e-01 7.956114994023557596e-01
1.884955592153875870e+00 6.541223024374099859e-01
2.827433388230813804e+00 1.624535629225022371e-01
3.769911184307751739e+00 -4.560233523191782878e-01
4.712388980384689674e+00 -5.060594232603037312e-01
5.654866776461627609e+00 -4.059530291090805987e-01
6.597344572538565544e+00 3.286699847798780771e-01
7.539822368615503478e+00 4.290032321259020787e-01
8.482300164692441413e+00 5.882847090880647389e-01
9.424777960769379348e+00 -2.735470439662684300e-02
